a & b \\
3.3333199098706245e-06 & 3.3333333333703703e-06 \\
3.3333199098706245e-06 & 3.3333111112962948e-06 \\
3.333290806040168e-06 & 3.3332888895185097e-06 \\ 
3.333261702209711e-06 & 3.3332666680370083e-06 \\
3.3332325983792543e-06 & 3.3332444468517854e-06 \\
3.3332325983792543e-06 & 3.3332222259628356e-06 \\
3.3332034945487976e-06 & 3.3332000053701526e-06 \\ 
3.333174390718341e-06 & 3.3331777850737303e-06 \\
3.333145286887884e-06 & 3.3331555650735625e-06 \\
3.333145286887884e-06 & 3.333133345369644e-06 \\
